"","player","season","schl","games","gs","mp"
"1248","Bo Calhoun",2013,"Ball State",27,2,253
"1249","Bo Calhoun",2014,"Ball State",30,8,762
"1250","Bo Calhoun",2015,"Ball State",35,31,929
"1251","Bo Hodges",2020,"Butler",9,5,260
"1252","Bo Hodges",2021,"Butler",17,13,484
"1253","Bo Myers",2023,"Wright State",2,0,3
"1254","Bo Spencer",2011,"Nebraska",30,29,976
"1255","Bobby Arthur-Williams",2018,"Milwaukee",31,10,512
"1256","Bobby Arthur-Williams",2019,"Milwaukee",2,0,22
"1257","Bobby Capobianco",2010,"Indiana",27,0,165
"1258","Bobby Capobianco",2012,"Valparaiso",30,1,487
"1259","Bobby Capobianco",2013,"Valparaiso",33,6,583
"1260","Bobby Frasco",2014,"Buffalo",9,0,14
"1261","Bobby Hain",2012,"Youngstown State",33,4,505
"1262","Bobby Hain",2013,"Youngstown State",32,31,895
"1263","Bobby Hain",2014,"Youngstown State",32,32,1018
"1264","Bobby Hain",2015,"Youngstown State",13,13,368
"1265","Bobby Harvey",2020,"IUPUI",14,4,257
"1266","Bobby Harvey",2021,"IUPUI",9,1,174
"1267","Bobby Hunter",2013,"Illinois State",34,29,942
"1268","Bobby Hunter",2014,"Illinois State",30,2,585
"1269","Bobby Mannie",2015,"Southern Illinois",6,0,12
"1270","Bobby Pettiford",2021,"Kansas",14,0,112
"1271","Bobby Pettiford",2022,"Kansas",32,0,387
"1272","Bobby Word",2013,"Oral Roberts",32,21,737
"1273","Bobby Word",2014,"Oral Roberts",33,9,761
"1274","Bobby Word",2016,"Cleveland State",31,30,958
"1275","Bobby Word",2017,"Cleveland State",35,34,956
"1276","Bobo Drummond",2012,"Wright State",14,0,69
"1277","Boden Kapke",2023,"Butler",6,0,55
"1278","Boden Skunberg",2020,"North Dakota State",19,1,227
"1279","Boden Skunberg",2021,"North Dakota State",32,12,725
"1280","Boden Skunberg",2022,"North Dakota State",32,28,1010
"1281","Boden Skunberg",2023,"North Dakota State",7,7,213
"1282","Boe Nguidjol",2018,"Detroit Mercy",20,1,126
"1283","Boe Nguidjol",2019,"Detroit Mercy",18,2,287
"1284","Bola Alade",2015,"Oklahoma",7,0,16
"1285","Bola Olaniyan",2013,"Southern Illinois",30,12,471
"1286","Bola Olaniyan",2014,"Southern Illinois",31,12,507
"1287","Bola Olaniyan",2015,"Southern Illinois",29,26,693
"1288","Bonzie Colson",2014,"Notre Dame",32,1,386
"1289","Bonzie Colson",2015,"Notre Dame",36,24,910
"1290","Bonzie Colson",2016,"Notre Dame",36,36,1156
"1291","Bonzie Colson",2017,"Notre Dame",21,21,680
"1292","Boo Buie",2019,"Northwestern",26,11,649
"1293","Boo Buie",2020,"Northwestern",24,19,646
"1294","Boo Buie",2021,"Northwestern",31,30,914
"1295","Boo Buie",2022,"Northwestern",34,34,1185
"1296","Boo Buie",2023,"Northwestern",5,5,177
"1297","Boogie Anderson",2020,"South Dakota",18,0,168
"1298","Boogie Anderson",2021,"South Dakota",31,17,691
"1299","Boogie Ellis",2019,"Memphis",31,27,759
"1300","Boogie Ellis",2020,"Memphis",28,15,655
"1301","Boston Stanton",2021,"IUPUI",28,19,703
"1302","Boston Stanton",2022,"IUPUI",27,8,320
"1303","Bostyn Holt",2023,"South Dakota",7,7,190
"1304","Both Gach",2020,"Minnesota",29,16,657
"1305","Boubacar Toure",2018,"Eastern Michigan",31,26,763
"1306","Boubacar Toure",2019,"Eastern Michigan",32,32,863
"1307","Bowen Born",2020,"Northern Iowa",25,25,765
"1308","Bowen Born",2021,"Northern Iowa",30,1,713
"1309","Bowen Born",2022,"Northern Iowa",32,32,1066
"1310","Bowen Born",2023,"Northern Iowa",5,5,136
"1311","Bowen Hardman",2022,"Ohio State",7,0,19
"1312","Bowen Hardman",2023,"Ohio State",4,0,6
"1313","Brachen Hazen",2018,"Ball State",17,2,306
"1314","Brachen Hazen",2019,"Ball State",30,2,460
"1315","Brachen Hazen",2020,"Ball State",21,20,478
"1316","Brad Anlauf",2013,"Michigan",8,0,16
"1317","Brad Birton",2010,"Illinois-Chicago",30,27,797
"1318","Brad Bowditch",2020,"Illinois-Chicago",2,0,1
"1319","Brad Bowditch",2021,"Illinois-Chicago",3,0,7
"1320","Brad Calipari",2019,"Detroit Mercy",27,6,542
"1321","Brad Calipari",2020,"Detroit Mercy",6,0,26
"1322","Brad Davison",2017,"Wisconsin",33,29,1028
"1323","Brad Davison",2018,"Wisconsin",34,34,1096
"1324","Brad Davison",2019,"Wisconsin",30,30,927
"1325","Brad Davison",2020,"Wisconsin",31,31,960
"1326","Brad Davison",2021,"Wisconsin",33,33,1136
"1327","Brad Wanamaker",2010,"Pittsburgh",34,34,1033
"1328","Braden Allen",2023,"IUPUI",3,0,6
"1329","Braden Burke",2016,"Robert Morris",32,8,487
"1330","Braden Burke",2018,"Michigan State",9,0,13
"1331","Braden Burke",2019,"Michigan State",8,0,12
"1332","Braden Burke",2020,"Central Michigan",4,0,29
"1333","Braden Grant",2023,"Wright State",1,0,2
"1334","Braden Norris",2020,"Loyola (IL)",31,31,961
"1335","Braden Norris",2021,"Loyola (IL)",32,32,1045
"1336","Braden Norris",2022,"Loyola (IL)",31,31,1156
"1337","Braden Norris",2023,"Loyola (IL)",6,6,197
"1338","Braden Smith",2022,"Purdue",35,35,1059
"1339","Braden Smith",2023,"Purdue",6,6,188
"1340","Bradley Alcime",2020,"Tulsa",3,0,8
"1341","Bradley Dean",2023,"Miami (OH)",5,2,97
"1342","Bradley George",2016,"Denver",30,0,289
"1343","Brady Danielson",2019,"North Dakota",33,3,653
"1344","Brady Danielson",2020,"North Dakota",25,0,326
"1345","Brady Danielson",2021,"North Dakota",30,16,594
"1346","Brady Danielson",2022,"North Dakota",33,20,867
"1347","Brady Danielson",2023,"North Dakota",6,0,126
"1348","Brady Ellingson",2014,"Iowa",7,0,32
"1349","Brady Ellingson",2015,"Iowa",27,0,247
"1350","Brady Ellingson",2016,"Iowa",34,0,484
"1351","Brady Ellingson",2017,"Iowa",26,1,285
"1352","Brady Ellingson",2018,"Drake",33,33,1111
"1353","Brady Ernst",2015,"Iowa State",6,0,14
"1354","Brady Ernst",2019,"Drake",12,0,74
"1355","Brady Heiman",2018,"Nebraska",30,0,257
"1356","Brady Heiman",2020,"South Dakota",14,5,150
"1357","Brady Heiman",2021,"South Dakota",1,0,3
"1358","Brady Manek",2017,"Oklahoma",32,26,759
"1359","Brady Manek",2018,"Oklahoma",34,34,944
"1360","Brady Manek",2019,"Oklahoma",31,31,944
"1361","Brady Manek",2020,"Oklahoma",25,20,628
"1362","Brady Morningstar",2010,"Kansas",38,25,1048
"1363","Brady Rudrud",2016,"Minnesota",5,0,9
"1364","Brady Rudrud",2017,"Minnesota",6,0,14
"1365","Brady Rudrud",2018,"Minnesota",5,0,7
"1366","Brady Rudrud",2019,"Minnesota",4,0,9
"1367","Braeden Carrington",2022,"Minnesota",22,0,441
"1368","Braeden Carrington",2023,"Minnesota",6,6,161
"1369","Braeden Moore",2023,"Oral Roberts",2,0,8
"1370","Braeden Shrewsberry",2023,"Notre Dame",5,3,147
"1371","Braelen Bridges",2019,"Illinois-Chicago",34,34,702
"1372","Braelen Bridges",2020,"Illinois-Chicago",18,3,344
"1373","Brandan Kearney",2011,"Michigan State",34,0,327
"1374","Brandan Kearney",2012,"Michigan State",13,0,220
"1375","Brandan Kearney",2014,"Detroit Mercy",33,13,685
"1376","Branden Dawson",2011,"Michigan State",31,31,640
"1377","Branden Dawson",2012,"Michigan State",36,35,969
"1378","Branden Dawson",2013,"Michigan State",28,24,792
"1379","Branden Dawson",2014,"Michigan State",35,32,1055
"1380","Branden Stubbs",2010,"Iowa",4,0,15
"1381","Branden Stubbs",2011,"Iowa",12,0,39
"1382","Brandin Podziemski",2021,"Illinois",16,0,69
"1383","Brandon Armstrong",2016,"South Dakota",33,0,325
"1384","Brandon Armstrong",2017,"South Dakota",35,0,515
"1385","Brandon Armstrong",2018,"South Dakota",29,8,625
"1386","Brandon Armstrong",2019,"South Dakota",32,0,482
"1387","Brandon Averette",2016,"Oklahoma State",33,1,488
"1388","Brandon Averette",2017,"Oklahoma State",36,6,715
"1389","Brandon Baker",2010,"Belmont",35,12,432
"1390","Brandon Baker",2011,"Belmont",33,3,432
"1391","Brandon Baker",2012,"Belmont",33,1,464
"1392","Brandon Battle",2021,"Illinois-Chicago",17,2,164
"1393","Brandon Betson",2021,"Chicago State",32,32,1099
"1394","Brandon Betson",2022,"Tulsa",30,10,785
"1395","Brandon Bolden",2014,"Kansas State",17,0,71
"1396","Brandon Bos",2011,"South Dakota",21,2,220
"1397","Brandon Bos",2012,"South Dakota",29,18,809
"1398","Brandon Bos",2013,"South Dakota",30,25,847
"1399","Brandon Bos",2014,"South Dakota",33,33,1019
"1400","Brandon Bowdry",2010,"Eastern Michigan",30,30,967
"1401","Brandon Brekke",2010,"North Dakota",33,19,532
"1402","Brandon Brekke",2011,"North Dakota",30,28,631
"1403","Brandon Brekke",2012,"North Dakota",19,8,303
"1404","Brandon Burnett",2012,"Indiana State",18,0,92
"1405","Brandon Burnett",2013,"Indiana State",33,0,233
"1406","Brandon Burnett",2015,"Indiana State",30,1,294
"1407","Brandon Busuttil",2014,"Bowling Green State",9,NA,19
"1408","Brandon Busuttil",2015,"Bowling Green State",7,2,19
"1409","Brandon Conley",2012,"Oral Roberts",31,11,452
"1410","Brandon Conley",2013,"Oral Roberts",32,19,579
"1411","Brandon Conley",2014,"Oral Roberts",34,15,622
"1412","Brandon Conley",2015,"Oral Roberts",30,23,591
"1413","Brandon Danowski",2017,"Northern Illinois",9,0,16
"1414","Brandon Ford",2021,"Akron",1,0,0
"1415","Brandon Garrett",2010,"Murray State",11,0,63
"1416","Brandon Garrett",2011,"Murray State",32,0,374
"1417","Brandon Garrett",2012,"Murray State",31,31,762
"1418","Brandon Garrison",2023,"Oklahoma State",6,3,102
"1419","Brandon Hayes",2012,"Northern Illinois",11,0,18
"1420","Brandon Herman",2011,"Robert Morris",30,0,293
"1421","Brandon Johns",2018,"Michigan",28,0,115
"1422","Brandon Johns",2019,"Michigan",30,11,584
"1423","Brandon Johns",2020,"Michigan",28,5,362
"1424","Brandon Johns",2021,"Michigan",31,9,412
"1425","Brandon Johnson",2016,"Western Michigan",32,32,737
"1426","Brandon Johnson",2017,"Western Michigan",29,29,787
"1427","Brandon Johnson",2019,"Western Michigan",32,31,994
"1428","Brandon Johnson",2020,"Minnesota",28,24,723
"1429","Brandon Kenyon",2018,"IUPUI",7,1,42
"1430","Brandon Kenyon",2019,"IUPUI",17,6,129
"1431","Brandon Key",2017,"South Dakota State",34,5,632
"1432","Brandon Key",2019,"South Dakota State",25,16,562
"1433","Brandon Lieb",2020,"Illinois",5,0,12
"1434","Brandon Lieb",2021,"Illinois",10,0,24
"1435","Brandon Lieb",2022,"Illinois",16,0,59
"1436","Brandon Lieb",2023,"Illinois State",6,6,83
"1437","Brandon Maxwell",2016,"Northern Kentucky",24,0,201
"1438","Brandon Muntu",2023,"Western Michigan",6,6,159
"1439","Brandon Murphy",2014,"Indiana State",22,0,127
"1440","Brandon Murphy",2015,"Indiana State",32,30,531
"1441","Brandon Murphy",2016,"Indiana State",29,10,401
"1442","Brandon Murphy",2017,"Indiana State",31,30,647
"1443","Brandon Nazione",2014,"Eastern Michigan",35,13,538
"1444","Brandon Nazione",2015,"Eastern Michigan",33,33,891
"1445","Brandon Neel",2015,"Wright State",5,0,58
"1446","Brandon Newman",2020,"Purdue",28,23,662
"1447","Brandon Newman",2021,"Purdue",25,1,315
"1448","Brandon Newman",2022,"Purdue",35,6,620
"1449","Brandon Noel",2022,"Wright State",33,26,961
"1450","Brandon Noel",2023,"Wright State",6,6,216
"1451","Brandon Paul",2010,"Illinois",34,NA,760
"1452","Brandon Paul",2011,"Illinois",32,30,1070
"1453","Brandon Paul",2012,"Illinois",36,35,1153
"1454","Brandon Pokley",2010,"Western Michigan",24,NA,129
"1455","Brandon Pokley",2011,"Western Michigan",21,4,340
"1456","Brandon Pokley",2012,"Western Michigan",35,35,992
"1457","Brandon Rachal",2019,"Tulsa",30,29,873
"1458","Brandon Rachal",2020,"Tulsa",23,23,727
"1459","Brandon Richardson",2010,"Nebraska",31,27,723
"1460","Brandon Richardson",2011,"Nebraska",30,30,929
"1461","Brandon Romain",2011,"Detroit Mercy",4,0,8
"1462","Brandon Rush",2022,"Youngstown State",34,24,900
"1463","Brandon Rush",2023,"Youngstown State",6,6,169
"1464","Brandon Stone",2021,"Robert Morris",23,0,378
"1465","Brandon Swannegan",2012,"Tulsa",23,0,232
"1466","Brandon Swannegan",2013,"Tulsa",34,0,452
"1467","Brandon Swannegan",2014,"Tulsa",34,10,569
"1468","Brandon Swannegan",2015,"Tulsa",32,12,640
"1469","Brandon Ubel",2010,"Nebraska",32,13,644
"1470","Brandon Ubel",2011,"Nebraska",30,30,847
"1471","Brandon Ubel",2012,"Nebraska",31,30,1022
"1472","Brandon Wade",2020,"Michigan",3,0,3
"1473","Brandon Williams",2010,"Evansville",2,0,0
"1474","Brandon Williams",2011,"Evansville",5,0,6
"1475","Brandon Williams",2012,"Evansville",4,0,6
"1476","Brandon Wood",2010,"Valparaiso",33,33,1053
"1477","Brandon Wood",2011,"Michigan State",37,28,994
"1478","Brannen Greene",2013,"Kansas",28,0,183
"1479","Brannen Greene",2014,"Kansas",35,2,525
"1480","Brannen Greene",2015,"Kansas",30,1,371
"1481","Brant Banks",2019,"Nebraska",1,0,3
"1482","Brashon Hall",2023,"Drake",2,0,4
"1483","Braun Hartfield",2016,"Youngstown State",34,14,768
"1484","Braun Hartfield",2017,"Youngstown State",32,27,1018
"1485","Braxton Stacker",2022,"Murray State",12,0,34
"1486","Brayden Carlson",2010,"South Dakota State",30,0,330
"1487","Brayden Carlson",2011,"South Dakota State",35,33,1117
"1488","Brayden Carlson",2012,"South Dakota State",35,35,1211
"1489","Brayden Carlson",2013,"South Dakota State",32,32,1177
"1490","Brayden Dailey",2022,"Green Bay",5,0,8
"1491","Braylon Jackson",2023,"Evansville",2,0,20
"1492","Braylon Rayson",2013,"Central Michigan",31,17,712
"1493","Braylon Rayson",2014,"Central Michigan",32,32,754
"1494","Braylon Rayson",2015,"Central Michigan",32,31,1024
"1495","Braylon Rayson",2016,"Central Michigan",32,31,1191
"1496","Brendan Howard",2021,"North Dakota",12,0,157
"1497","Brenden Moss",2023,"Kent State",5,0,30
"1498","Brendon Gooch",2017,"Southern Illinois",25,0,138
"1499","Brendon Gooch",2018,"Southern Illinois",16,1,116
"1500","Brendon Gooch",2019,"Southern Illinois",28,0,190
"1501","Brendon Schwiebert",2012,"Toledo",4,0,13
"1502","Brennan Cougill",2011,"Green Bay",30,21,794
"1503","Brennan Cougill",2012,"Green Bay",30,10,648
"1504","Brennan Gillis",2015,"Northern Kentucky",29,1,253
"1505","Brennan Gillis",2016,"Northern Kentucky",35,2,318
"1506","Brennen Woods",2017,"Northern Illinois",3,0,5
"1507","Brent Davis",2022,"Chicago State",31,23,802
"1508","Brent Davis",2023,"Chicago State",8,8,250
"1509","Brent Hibbitts",2016,"Michigan",11,0,22
"1510","Brent Hibbitts",2017,"Michigan",5,0,15
"1511","Brenton Mills",2021,"Bowling Green State",31,23,649
"1512","Brenton Mills",2022,"Bowling Green State",30,18,714
"1513","Brenton Scott",2014,"Indiana State",31,26,889
"1514","Brenton Scott",2015,"Indiana State",32,22,978
"1515","Brenton Scott",2016,"Indiana State",31,29,980
"1516","Brenton Scott",2017,"Indiana State",31,30,1018
"1517","Bret Porter",2020,"Nebraska",7,0,10
"1518","Brett Barney",2016,"Wichita State",17,0,39
"1519","Brett Barney",2017,"Wichita State",6,0,14
"1520","Brett Barney",2018,"Omaha",31,0,335
"1521","Brett Frantz",2015,"Youngstown State",32,12,525
"1522","Brett Frantz",2016,"Youngstown State",33,18,798
"1523","Brett McClanahan",2010,"Akron",36,35,938
"1524","Brett McClanahan",2011,"Akron",34,8,645
"1525","Brett McKnight",2010,"Akron",29,0,520
"1526","Brett Olson",2011,"Denver",31,31,1006
"1527","Brett Olson",2012,"Denver",32,32,1084
"1528","Brett Olson",2013,"Denver",31,31,1141
"1529","Brett Olson",2014,"Denver",30,30,1061
"1530","Brett Prahl",2014,"Milwaukee",25,0,196
"1531","Brett Prahl",2015,"Milwaukee",26,0,118
"1532","Brett Prahl",2016,"Milwaukee",33,32,653
"1533","Brett Prahl",2017,"Milwaukee",33,32,981
"1534","Brett Rau",2016,"Missouri",5,0,7
"1535","Brett Rau",2017,"Missouri",11,0,50
"1536","Brett Thompson",2023,"Youngstown State",6,1,159
"1537","Brett Valentyn",2010,"Wisconsin",24,0,123
"1538","Brett VandenBergh",2012,"North Dakota State",32,7,505
"1539","Brevin Pritzl",2015,"Wisconsin",1,0,4
"1540","Brevin Pritzl",2016,"Wisconsin",24,0,207
"1541","Brevin Pritzl",2017,"Wisconsin",32,21,938
"1542","Brevin Pritzl",2018,"Wisconsin",34,0,669
"1543","Brevin Pritzl",2019,"Wisconsin",31,7,840
"1544","Brian Frank",2010,"Kent State",9,0,14
"1545","Brian Frank",2011,"Kent State",7,0,8
"1546","Brian Frank",2012,"Kent State",6,1,9
"1547","Brian Greene",2016,"Chicago State",25,7,408
"1548","Brian Ishola",2014,"North Dakota State",14,0,95
"1549","Brian Ishola",2015,"North Dakota State",19,1,95
"1550","Brian Knight",2022,"Tulsa",30,12,418
"1551","Brian Mathews",2021,"North Dakota",31,1,408
"1552","Brian Mathews",2022,"North Dakota",28,0,260
"1553","Brian Mathews",2023,"North Dakota",2,0,17
"1554","Brian Moore",2022,"Murray State",31,14,728
"1555","Brian Moore",2023,"Murray State",5,5,162
"1556","Brian Oddo",2013,"Miami (OH)",12,0,22
"1557","Brian Oddo",2014,"Miami (OH)",8,0,38
"1558","Brian Oddo",2015,"Miami (OH)",10,2,87
"1559","Brian Patrick",2016,"Kansas State",23,0,124
"1560","Brian Patrick",2017,"Kansas State",26,0,204
"1561","Brian Rohleder",2011,"Kansas State",8,0,15
"1562","Brian Rohleder",2013,"Kansas State",18,0,31
"1563","Brian Rohleder",2014,"Kansas State",17,1,65
"1564","Brian Rohleder",2015,"Kansas State",23,0,62
"1565","Brian Stafford",2010,"Denver",30,30,1008
"1566","Brian Stafford",2011,"Denver",31,31,1035
"1567","Brian Sullivan",2011,"Miami (OH)",30,12,849
"1568","Brian Taylor",2019,"Illinois-Chicago",26,0,306
"1569","Brian Taylor",2020,"Illinois-Chicago",15,4,197
"1570","Brian Taylor",2021,"Central Michigan",29,24,934
"1571","Brian Taylor",2022,"Central Michigan",31,31,1129
"1572","Brian Taylor",2022,"Milwaukee",7,0,34
"1573","Brian Taylor",2023,"Central Michigan",6,6,188
"1574","Brian Waddell",2022,"Purdue",17,0,137
"1575","Brian Waddell",2023,"Purdue",2,0,16
"1576","Brian Walsh",2010,"Akron",1,0,0
"1577","Brian Walsh",2011,"Akron",34,27,839
"1578","Brian Walsh",2012,"Akron",32,29,759
"1579","Brian Williams",2011,"Oklahoma State",32,20,887
"1580","Brian Williams",2012,"Oklahoma State",14,0,220
"1581","Brian Williams",2013,"Oklahoma State",34,26,793
"1582","Brice Sensabaugh",2022,"Ohio State",33,21,809
"1583","Brice Williams",2023,"Nebraska",7,7,184
"1584","Brigham Rogers",2023,"Belmont",6,2,108
"1585","Brion Sanchious",2015,"Murray State",18,5,247
"1586","Brion Sanchious",2016,"Murray State",33,29,775
"1587","Brion Sanchious",2017,"Murray State",32,15,553
"1588","Brion Sanchious",2018,"Murray State",33,21,608
"1589","Brion Whitley",2017,"Murray State",15,0,47
"1590","Brion Whitley",2018,"Murray State",30,0,259
"1591","Brion Whitley",2020,"Murray State",19,9,221
"1592","Britton Lee",2013,"Robert Morris",3,0,10
"1593","Broc Finstuen",2021,"Cleveland State",30,1,506
"1594","Brock Bertram",2017,"Buffalo",17,1,84
"1595","Brock Bertram",2018,"Buffalo",20,0,64
"1596","Brock Bertram",2019,"Buffalo",18,7,174
"1597","Brock Bertram",2020,"Buffalo",18,10,294
"1598","Brock Bertram",2021,"Buffalo",15,4,87
"1599","Brock Harding",2023,"Iowa",6,0,65
"1600","Brock Heffner",2022,"Green Bay",27,16,607
"1601","Brock Pappas",2019,"Valparaiso",6,0,9
"1602","Brock Pappas",2020,"Valparaiso",6,0,15
"1603","Brock Pappas",2021,"Valparaiso",4,0,13
"1604","Brock Stull",2015,"Milwaukee",30,0,273
"1605","Brock Stull",2016,"Milwaukee",35,35,1167
"1606","Brock Stull",2017,"Milwaukee",31,31,1114
"1607","Brock Stull",2018,"Minnesota",32,1,325
"1608","Brock Washington",2018,"Michigan State",7,0,7
"1609","Brock Washington",2019,"Michigan State",8,0,19
"1610","Broden Lien",2022,"South Dakota State",24,0,209
"1611","Bronson Kessinger",2016,"Indiana State",27,1,220
"1612","Bronson Kessinger",2017,"Indiana State",29,10,351
"1613","Bronson Kessinger",2018,"Indiana State",31,5,528
"1614","Bronson Kessinger",2019,"Indiana State",29,4,364
"1615","Bronson Koenig",2013,"Wisconsin",37,0,572
"1616","Bronson Koenig",2014,"Wisconsin",40,24,1152
"1617","Bronson Koenig",2015,"Wisconsin",35,35,1222
"1618","Bronson Koenig",2016,"Wisconsin",36,35,1129
"1619","Bronson Verhines",2013,"Southern Illinois",27,8,366
"1620","Brooks Barnhizer",2021,"Northwestern",11,0,82
"1621","Brooks Barnhizer",2022,"Northwestern",34,0,827
"1622","Brooks Barnhizer",2023,"Northwestern",5,5,180
"1623","Brooks Ford",2018,"Missouri",4,0,4
"1624","Brooks Ford",2019,"Missouri",5,0,9
"1625","Brooks Manzer",2022,"Oklahoma State",3,0,4
"1626","Bruce Marshall",2012,"Missouri State",26,2,223
"1627","Bruce Marshall",2013,"Missouri State",15,0,63
"1628","Bruce Thornton",2022,"Ohio State",35,35,1069
"1629","Bruce Thornton",2023,"Ohio State",6,6,188
"1630","Bruno Skokna",2016,"Loyola (IL)",32,2,528
"1631","Bruno Skokna",2017,"Loyola (IL)",38,0,435
"1632","Bruno Skokna",2018,"Loyola (IL)",32,10,637
"1633","Bruno Skokna",2019,"Loyola (IL)",21,1,164
"1634","Bruno Solomun",2016,"Miami (OH)",13,0,129
"1635","Bryan Greenlee",2019,"Minnesota",19,0,50
"1636","Bryan Hall",2010,"Northern Illinois",23,21,530
"1637","Bryan Trimble",2020,"Akron",23,19,653
"1638","Bryan Trimble",2021,"Akron",23,22,649
"1639","Bryan Trimble",2022,"Missouri State",15,10,375
"1640","Bryant Allen",2011,"Illinois State",24,0,515
"1641","Bryant Allen",2012,"Illinois State",32,30,908
"1642","Bryant McIntosh",2014,"Northwestern",32,30,1066
"1643","Bryant McIntosh",2015,"Northwestern",32,32,1142
"1644","Bryant McIntosh",2016,"Northwestern",36,36,1231
"1645","Bryant McIntosh",2017,"Northwestern",29,29,908
"1646","Bryant Mocaby",2018,"Northern Kentucky",18,2,159
"1647","Bryant Mocaby",2019,"Northern Kentucky",19,2,195
"1648","Bryant Rucker",2012,"Denver",11,0,53
"1649","Bryant Rucker",2013,"Denver",30,13,658
"1650","Bryant Rucker",2014,"Denver",29,8,532
"1651","Bryant Rucker",2015,"Denver",31,19,509
"1652","Bryant Selebangue",2022,"Tulsa",30,30,942
"1653","Bryce Barnes",2016,"Milwaukee",35,1,425
"1654","Bryce Barnes",2017,"Milwaukee",32,24,665
"1655","Bryce Barnes",2018,"Milwaukee",25,15,659
"1656","Bryce Cartwright",2010,"Iowa",31,26,964
"1657","Bryce Cartwright",2011,"Iowa",32,17,757
"1658","Bryce Cashman",2014,"North Dakota",23,4,313
"1659","Bryce Cashman",2015,"North Dakota",10,1,86
"1660","Bryce Dejean-Jones",2014,"Iowa State",33,21,760
"1661","Bryce Ford",2023,"Toledo",6,0,38
"1662","Bryce Golden",2018,"Butler",15,0,89
"1663","Bryce Golden",2019,"Butler",31,31,664
"1664","Bryce Golden",2020,"Butler",24,24,646
"1665","Bryce Golden",2021,"Butler",33,33,795
"1666","Bryce Golden",2022,"Loyola (IL)",29,12,405
"1667","Bryce Johnson",2021,"Chicago State",23,10,535
"1668","Bryce Johnson",2022,"Chicago State",31,19,846
"1669","Bryce Jones",2015,"Murray State",31,28,989
"1670","Bryce Jones",2016,"Murray State",33,30,1038
"1671","Bryce McBride",2020,"Eastern Michigan",18,15,575
"1672","Bryce McBride",2021,"Eastern Michigan",24,10,691
"1673","Bryce McBride",2022,"Youngstown State",34,21,938
"1674","Bryce McGowens",2021,"Nebraska",31,31,1032
"1675","Bryce Monroe",2022,"IUPUI",4,3,109
"1676","Bryce Monroe",2023,"IUPUI",7,7,198
"1677","Bryce Moore",2015,"Western Michigan",31,13,660
"1678","Bryce Moore",2016,"Western Michigan",31,16,766
"1679","Bryce Moore",2017,"Western Michigan",32,32,982
"1680","Bryce Nickels",2015,"Youngstown State",23,1,319
"1681","Bryce Nze",2016,"Milwaukee",35,2,628
"1682","Bryce Nze",2017,"Milwaukee",33,29,972
"1683","Bryce Nze",2019,"Butler",31,31,889
"1684","Bryce Nze",2020,"Butler",23,23,715
"1685","Bryce Nze",2021,"Butler",25,25,724
"1686","Bryce Thompson",2020,"Kansas",20,4,341
"1687","Bryce Thompson",2021,"Oklahoma State",29,25,756
"1688","Bryce Thompson",2022,"Oklahoma State",36,36,1097
"1689","Bryce Thompson",2023,"Oklahoma State",3,2,64
"1690","Bryce Williams",2020,"Oklahoma State",28,19,660
"1691","Bryce Williams",2021,"Oklahoma State",24,8,540
"1692","Brycen Bush",2017,"Wichita State",4,0,9
"1693","Brycen Bush",2018,"Wichita State",4,0,6
"1694","Brycen Bush",2019,"Wichita State",7,0,10
"1695","Brycen Bush",2020,"Wichita State",3,0,6
"1696","Bryceson Burns",2020,"Drake",14,0,56
"1697","Bryceson Burns",2022,"Drake",15,0,61
"1698","Bryn Forbes",2012,"Cleveland State",32,18,904
"1699","Bryn Forbes",2013,"Cleveland State",32,32,1102
"1700","Bryn Forbes",2014,"Michigan State",39,24,1022
"1701","Bryn Forbes",2015,"Michigan State",35,34,982
"1702","Bryon Ottrix",2021,"Detroit Mercy",1,0,12
"1703","Bryquis Perine",2010,"Green Bay",32,30,972
"1704","Bryson Bultman",2023,"Miami (OH)",5,5,154
"1705","Bryson Langdon",2019,"Northern Kentucky",31,22,887
"1706","Bryson Langdon",2020,"Northern Kentucky",25,24,841
"1707","Bryson Langdon",2021,"Northern Kentucky",32,25,883
"1708","Bryson Langdon",2023,"Youngstown State",6,6,167
"1709","Bryson Pope",2010,"Tulsa",32,21,697
"1710","Bryson Pope",2012,"Kent State",35,2,656
"1711","Bryson Scott",2013,"Purdue",32,2,501
"1712","Bryson Scott",2014,"Purdue",25,1,268
"1713","Bryson Tatum",2020,"Miami (OH)",5,0,15
"1714","Bryson Tatum",2022,"Miami (OH)",28,3,336
"1715","Bryson Wilson",2023,"Buffalo",5,0,56
"1716","Buay Koka",2020,"Detroit Mercy",11,4,127
"1717","Buay Koka",2021,"Detroit Mercy",20,1,105
"1718","Buay Koka",2022,"Detroit Mercy",26,1,177
"1719","Bubba Day",2010,"Purdue",9,0,16
"1720","Bubu Palo",2010,"Iowa State",32,3,449
"1721","Bubu Palo",2011,"Iowa State",21,0,290
"1722","Bubu Palo",2012,"Iowa State",17,0,212
"1723","Bubz Alvarez",2023,"South Dakota State",6,0,77
"1724","Bud Jones",2017,"Eastern Michigan",24,2,93
"1725","Bud Jones",2018,"Eastern Michigan",11,0,57
"1726","Buddy Hield",2012,"Oklahoma",27,13,679
"1727","Buddy Hield",2013,"Oklahoma",33,33,1059
"1728","Buddy Hield",2014,"Oklahoma",35,35,1135
"1729","Buddy Hield",2015,"Oklahoma",37,37,1309
