"","player","pos","season","school_name","class"
"1563","Jared Dimakos","G",2013,"Chicago State","SO"
"1564","Johnny Griffin","G",2013,"Chicago State","FR"
"1565","Kurt Karis","G",2013,"Chicago State","FR"
"1566","Jamere Dismukes","G",2013,"Chicago State","SR"
"1567","Markus Starks","F",2013,"Chicago State","SR"
"1568","Willie Rosenthal","C",2013,"Chicago State","FR"
"1569","Quron Davis","C",2013,"Chicago State","FR"
"1570","Joshua Batson","G",2013,"Chicago State","FR"
"1571","Arthur Gage","C",2013,"Chicago State","SR"
"1572","Clarke Rosenberg","G",2014,"Chicago State","SR"
"1573","Trayvon Palmer","G",2014,"Chicago State","SO"
"1574","Anthony Glover","G",2014,"Chicago State","FR"
"1575","Sean Hill","G",2014,"Chicago State","SR"
"1576","Joshua Meier","F",2014,"Chicago State","FR"
"1577","Jared Dimakos","G",2014,"Chicago State","JR"
"1578","Johnny Griffin","G",2014,"Chicago State","SO"
"1579","Montana Byrd","G",2014,"Chicago State","FR"
"1580","Jawad Adekoya","G",2014,"Chicago State","JR"
"1581","Joshua Batson","G",2014,"Chicago State","SO"
"1582","Quron Davis","C",2014,"Chicago State","SO"
"1583","Aaron Williams","F",2014,"Chicago State","SR"
"1584","Rahjan Muhammad","G",2014,"Chicago State","SR"
"1585","Kurt Karis","G",2014,"Chicago State","SO"
"1586","Jesse Tesmer","F",2014,"Chicago State","JR"
"1587","Elijah Robertson","G",2014,"Chicago State","FR"
"1588","Michael Johnson","F",2014,"Chicago State","SR"
"1589","Sharieff Medlock","G",2014,"Chicago State","FR"
"1590","Fred Sims","G",2015,"Chicago State","FR"
"1591","Trayvon Palmer","G",2015,"Chicago State","JR"
"1592","Elliott Cole","G",2015,"Chicago State","JR"
"1593","Kieran Woods","G",2015,"Chicago State","SR"
"1594","Clemmye Owens","G",2015,"Chicago State","JR"
"1595","Jawad Adekoya","G",2015,"Chicago State","SR"
"1596","Anthony Eaves","G",2015,"Chicago State","FR"
"1597","Jordan Madrid-Andrews","F",2015,"Chicago State","JR"
"1598","Quron Davis","C",2015,"Chicago State","JR"
"1599","Montana Byrd","G",2015,"Chicago State","SO"
"1600","Joshua Batson","G",2015,"Chicago State","JR"
"1601","Devon Friend","F",2015,"Chicago State","SR"
"1602","Delundre Dixon","G",2015,"Chicago State","FR"
"1603","Jared Dimakos","G",2015,"Chicago State","SR"
"1604","Gentry Hunt","G",2015,"Chicago State","SO"
"1605","Charles Dent","F",2015,"Chicago State","SO"
"1606","Fred Sims","G",2016,"Chicago State","SO"
"1607","Trayvon Palmer","G",2016,"Chicago State","SR"
"1608","Clemmye Owens","G",2016,"Chicago State","SR"
"1609","Deionte Simmons","F",2016,"Chicago State","JR"
"1610","Delundre Dixon","G",2016,"Chicago State","SO"
"1611","Anthony Eaves","G",2016,"Chicago State","SO"
"1612","Patrick Szpir","F",2016,"Chicago State","FR"
"1613","Brian Greene","G",2016,"Chicago State","SR"
"1614","Joshua Batson","G",2016,"Chicago State","SR"
"1615","Glen Burns","G",2016,"Chicago State","JR"
"1616","Montana Byrd","G",2016,"Chicago State","JR"
"1617","Alex Dubovitskiy","G",2016,"Chicago State","JR"
"1618","Gentry Hunt","G",2016,"Chicago State","JR"
"1619","Fred Sims","G",2017,"Chicago State","JR"
"1620","Glen Burns","G",2017,"Chicago State","SR"
"1621","Deionte Simmons","F",2017,"Chicago State","SR"
"1622","Jelani Pruitt","G",2017,"Chicago State","SR"
"1623","Montana Byrd","G",2017,"Chicago State","SR"
"1624","Anthony Harris","G",2017,"Chicago State","JR"
"1625","Cameron Bowles","F",2017,"Chicago State","FR"
"1626","Rob Shaw","G",2017,"Chicago State","JR"
"1627","Travon Bell","G",2017,"Chicago State","FR"
"1628","Patrick Szpir","F",2017,"Chicago State","SO"
"1629","Alex Dubovitskiy","G",2017,"Chicago State","SR"
"1630","Simeon Henton","G",2017,"Chicago State","FR"
"1631","Jalen Stephens-Holmes","F",2017,"Chicago State","FR"
"1632","Nathan Townsen","G",2017,"Chicago State","FR"
"1633","John Joyce","F",2017,"Chicago State","JR"
"1634","Ken Odiase","F",2017,"Chicago State","JR"
"1635","Anthony Harris","G",2018,"Chicago State","SR"
"1636","Rob Shaw","G",2018,"Chicago State","SR"
"1637","Travon Bell","G",2018,"Chicago State","SO"
"1638","Cameron Bowles","F",2018,"Chicago State","SO"
"1639","Christian Jacob","F",2018,"Chicago State","JR"
"1640","Delshon Strickland","G",2018,"Chicago State","SR"
"1641","Patrick Szpir","F",2018,"Chicago State","JR"
"1642","Ken Odiase","F",2018,"Chicago State","SR"
"1643","Eugene Witherspoon","F",2018,"Chicago State","JR"
"1644","Noah Bigirumwami","F",2018,"Chicago State","SO"
"1645","Jordan Reed","G",2018,"Chicago State","SO"
"1646","Michael Johnson","G",2018,"Chicago State","SO"
"1647","Miles Oliver","G",2018,"Chicago State","FR"
"1648","Xavier Johnson","G",2019,"Chicago State","JR"
"1649","Andrew Lewis","G",2019,"Chicago State","JR"
"1650","Amir Gholizadeh","F",2019,"Chicago State","FR"
"1651","Solomon Hunt","C",2019,"Chicago State","JR"
"1652","Ke'Sean Davis","F",2019,"Chicago State","JR"
"1653","Rajeir Jones","G",2019,"Chicago State","FR"
"1654","Jace Colley","F",2019,"Chicago State","FR"
"1655","Isaiah Lewis","G",2019,"Chicago State","FR"
"1656","Michael Johnson","G",2019,"Chicago State","JR"
"1657","Carlo Marble","F",2019,"Chicago State","JR"
"1658","Noah Bigirumwami","F",2019,"Chicago State","JR"
"1659","Kalil Whitehead","F",2019,"Chicago State","FR"
"1660","Christian Jacob","F",2019,"Chicago State","SR"
"1661","Leondre Townsen","G",2019,"Chicago State","FR"
"1662","Xavier Johnson","G",2020,"Chicago State","SR"
"1663","Levelle Zeigler","G",2020,"Chicago State","JR"
"1664","Carlo Marble","F",2020,"Chicago State","SR"
"1665","Jordan Polynice","G",2020,"Chicago State","JR"
"1666","Isaiah Lewis","G",2020,"Chicago State","FR"
"1667","Rajeir Jones","G",2020,"Chicago State","SO"
"1668","Ke'Sean Davis","F",2020,"Chicago State","SR"
"1669","Kalil Whitehead","F",2020,"Chicago State","SO"
"1670","Coreyoun Rushin","F",2020,"Chicago State","JR"
"1671","Lou Demuth","C",2020,"Chicago State","FR"
"1672","Aaris-Monte Bonds","F",2020,"Chicago State","JR"
"1673","Andrew Lewis","G",2020,"Chicago State","SR"
"1674","Brandon Betson","G",2021,"Chicago State","JR"
"1675","Jahsean Corbett","G",2021,"Chicago State","FR"
"1676","Coreyoun Rushin","F",2021,"Chicago State","SR"
"1677","Bryce Johnson","G",2021,"Chicago State","FR"
"1678","Dominique Alexander","G",2021,"Chicago State","SR"
"1679","Favour Chukwukelu","G",2021,"Chicago State","JR"
"1680","Kedrick Green","G",2021,"Chicago State","FR"
"1681","Jameon Harris","G",2021,"Chicago State","FR"
"1682","Teddy Bayi Ba Mandeng","F",2021,"Chicago State","JR"
"1683","Ali Abdou Dibba","G",2021,"Chicago State","FR"
"1684","Noah Bigirumwami","F",2021,"Chicago State","JR"
"1685","Jincho Rivera","G",2021,"Chicago State","FR"
"1686","Andrew Lewis","G",2021,"Chicago State","SR"
"1687","Carlo Marble","F",2021,"Chicago State","SR"
"1688","Robert Pierce Blount","G",2021,"Chicago State","FR"
"1689","Wesley Cardet","G",2022,"Chicago State","SO"
"1690","Jahsean Corbett","G",2022,"Chicago State","SO"
"1691","Elijah Weaver","G",2022,"Chicago State","SR"
"1692","Bryce Johnson","G",2022,"Chicago State","SO"
"1693","Brent Davis","G",2022,"Chicago State","JR"
"1694","Kedrick Green","G",2022,"Chicago State","SO"
"1695","Teshaundre Cole","F",2022,"Chicago State","FR"
"1696","Deshawn Jean-Charles","G",2022,"Chicago State","FR"
"1697","Arol Kacuol","F",2022,"Chicago State","JR"
"1698","Tristan Arneaud","G",2022,"Chicago State","FR"
"1699","Faheim Meran","G",2022,"Chicago State","FR"
"1700","Robert Pierce Blount","G",2022,"Chicago State","SO"
"1701","Taeyon Neal","C",2022,"Chicago State","SO"
"1702","Charles Fofanah","G",2022,"Chicago State","FR"
"1703","Isaiah Hernandez","F",2022,"Chicago State","FR"
"1704","Wesley Cardet","G",2023,"Chicago State","JR"
"1705","Jahsean Corbett","G",2023,"Chicago State","JR"
"1706","Brent Davis","G",2023,"Chicago State","JR"
"1707","Deshawn Jean-Charles","G",2023,"Chicago State","SO"
"1708","Kedrick Green","G",2023,"Chicago State","JR"
"1709","Noble Crawford","G",2023,"Chicago State","JR"
"1710","AJ Neal","G",2023,"Chicago State","SO"
"1711","Cameron Jernigan","F",2023,"Chicago State","JR"
"1712","Tristan Arneaud","G",2023,"Chicago State","SO"
"1713","Alex Raiford","G",2023,"Chicago State","JR"
"1714","Greg Spate","G",2023,"Chicago State","FR"
"1715","Matt Bewley","F",2023,"Chicago State","FR"
"1716","Ryan Bewley","F",2023,"Chicago State","FR"
"1717","Teshaundre Cole","F",2023,"Chicago State","SO"
"1718","Dion Dixon","G",2010,"Cincinnati","JR"
"1719","Yancy Gates","F",2010,"Cincinnati","JR"
"1720","Sean Kilpatrick","G",2010,"Cincinnati","FR"
"1721","Cashmere Wright","G",2010,"Cincinnati","SO"
"1722","Rashad Bishop","F",2010,"Cincinnati","SR"
"1723","Ibrahima Thomas","F",2010,"Cincinnati","SR"
"1724","Larry Davis","G",2010,"Cincinnati","SR"
"1725","Darnell Wilks","F",2010,"Cincinnati","SR"
"1726","Justin Jackson","F",2010,"Cincinnati","FR"
"1727","Anthony McClain","C",2010,"Cincinnati","SR"
"1728","Jaquon Parker","G",2010,"Cincinnati","SO"
"1729","Alex Eppensteiner","G",2010,"Cincinnati","SO"
"1730","Eddie Tyree","G",2010,"Cincinnati","SR"
"1731","Anthony McBride","G",2010,"Cincinnati","SO"
"1732","Sean Kilpatrick","G",2011,"Cincinnati","SO"
"1733","Dion Dixon","G",2011,"Cincinnati","SR"
"1734","Cashmere Wright","G",2011,"Cincinnati","JR"
"1735","Yancy Gates","F",2011,"Cincinnati","SR"
"1736","Jaquon Parker","G",2011,"Cincinnati","JR"
"1737","Justin Jackson","F",2011,"Cincinnati","SO"
"1738","Ge'Lawn Guyn","G",2011,"Cincinnati","FR"
"1739","Jeremiah Davis","G",2011,"Cincinnati","FR"
"1740","Cheikh Mbodji","C",2011,"Cincinnati","JR"
"1741","Jermaine Sanders","F",2011,"Cincinnati","FR"
"1742","Kelvin Gaines","C",2011,"Cincinnati","FR"
"1743","Octavius Ellis","F",2011,"Cincinnati","FR"
"1744","Alex Eppensteiner","G",2011,"Cincinnati","JR"
"1745","Sean Kilpatrick","G",2012,"Cincinnati","JR"
"1746","Cashmere Wright","G",2012,"Cincinnati","SR"
"1747","Jaquon Parker","G",2012,"Cincinnati","SR"
"1748","Titus Rubles","F",2012,"Cincinnati","JR"
"1749","Cheikh Mbodji","C",2012,"Cincinnati","SR"
"1750","Justin Jackson","F",2012,"Cincinnati","JR"
"1751","Jermaine Sanders","F",2012,"Cincinnati","SO"
"1752","Shaq Thomas","F",2012,"Cincinnati","FR"
"1753","David Nyarsuk","C",2012,"Cincinnati","JR"
"1754","Ge'Lawn Guyn","G",2012,"Cincinnati","SO"
"1755","Jeremiah Davis","G",2012,"Cincinnati","SO"
"1756","Kelvin Gaines","C",2012,"Cincinnati","SO"
"1757","Alex Eppensteiner","G",2012,"Cincinnati","SR"
"1758","Sean Kilpatrick","G",2013,"Cincinnati","SR"
"1759","Justin Jackson","F",2013,"Cincinnati","SR"
"1760","Titus Rubles","F",2013,"Cincinnati","SR"
"1761","Shaq Thomas","F",2013,"Cincinnati","SO"
"1762","Jermaine Sanders","F",2013,"Cincinnati","JR"
"1763","Troy Caupain","G",2013,"Cincinnati","FR"
"1764","Ge'Lawn Guyn","G",2013,"Cincinnati","JR"
"1765","Kevin Johnson","F",2013,"Cincinnati","FR"
"1766","Jermaine Lawrence","F",2013,"Cincinnati","FR"
"1767","David Nyarsuk","C",2013,"Cincinnati","SR"
"1768","Jeremiah Davis","G",2013,"Cincinnati","SO"
"1769","Derek Cox","G",2013,"Cincinnati","SR"
"1770","Zack Tobler","F",2013,"Cincinnati","FR"
"1771","Octavius Ellis","F",2014,"Cincinnati","JR"
"1772","Troy Caupain","G",2014,"Cincinnati","SO"
"1773","Farad Cobb","G",2014,"Cincinnati","JR"
"1774","Gary Clark","F",2014,"Cincinnati","FR"
"1775","Kevin Johnson","F",2014,"Cincinnati","SO"
"1776","Shaq Thomas","F",2014,"Cincinnati","JR"
"1777","Jermaine Sanders","F",2014,"Cincinnati","SR"
"1778","Coreontae DeBerry","C",2014,"Cincinnati","JR"
"1779","Deshaun Morman","G",2014,"Cincinnati","FR"
"1780","Quadri Moore","F",2014,"Cincinnati","FR"
"1781","Ge'Lawn Guyn","G",2014,"Cincinnati","SR"
"1782","Rob Blissitt","G",2014,"Cincinnati","SO"
"1783","Zack Tobler","F",2014,"Cincinnati","SO"
"1784","Jamaree Strickland","C",2014,"Cincinnati","FR"
"1785","Troy Caupain","G",2015,"Cincinnati","JR"
"1786","Gary Clark","F",2015,"Cincinnati","SO"
"1787","Farad Cobb","G",2015,"Cincinnati","SR"
"1788","Octavius Ellis","F",2015,"Cincinnati","SR"
"1789","Jacob Evans","G",2015,"Cincinnati","FR"
"1790","Coreontae DeBerry","C",2015,"Cincinnati","SR"
"1791","Kevin Johnson","F",2015,"Cincinnati","JR"
"1792","Shaq Thomas","F",2015,"Cincinnati","SR"
"1793","Justin Jenifer","G",2015,"Cincinnati","FR"
"1794","Quadri Moore","F",2015,"Cincinnati","SO"
"1795","Zack Tobler","F",2015,"Cincinnati","JR"
"1796","Jacob Evans","G",2016,"Cincinnati","SO"
"1797","Kyle Washington","F",2016,"Cincinnati","JR"
"1798","Gary Clark","F",2016,"Cincinnati","JR"
"1799","Troy Caupain","G",2016,"Cincinnati","SR"
"1800","Jarron Cumberland","G",2016,"Cincinnati","FR"
"1801","Kevin Johnson","F",2016,"Cincinnati","SR"
"1802","Tre Scott","F",2016,"Cincinnati","FR"
"1803","Justin Jenifer","G",2016,"Cincinnati","SO"
"1804","Nysier Brooks","C",2016,"Cincinnati","FR"
"1805","Quadri Moore","F",2016,"Cincinnati","JR"
"1806","Zack Tobler","F",2016,"Cincinnati","SR"
"1807","Jackson Bart","F",2016,"Cincinnati","FR"
"1808","John Koz","G",2016,"Cincinnati","FR"
"1809","Jacob Evans","G",2017,"Cincinnati","JR"
"1810","Gary Clark","F",2017,"Cincinnati","SR"
"1811","Jarron Cumberland","G",2017,"Cincinnati","SO"
"1812","Kyle Washington","F",2017,"Cincinnati","SR"
"1813","Cane Broome","G",2017,"Cincinnati","JR"
"1814","Justin Jenifer","G",2017,"Cincinnati","JR"
"1815","Trevor Moore","G",2017,"Cincinnati","FR"
"1816","Tre Scott","F",2017,"Cincinnati","SO"
"1817","Keith Williams","G",2017,"Cincinnati","FR"
"1818","Nysier Brooks","C",2017,"Cincinnati","SO"
"1819","Eliel Nsoseme","F",2017,"Cincinnati","FR"
"1820","Mamoudou Diarra","F",2017,"Cincinnati","FR"
"1821","Jackson Bart","F",2017,"Cincinnati","SO"
"1822","John Koz","G",2017,"Cincinnati","SO"
"1823","Sam Martin","G",2017,"Cincinnati","FR"
"1824","Jarron Cumberland","G",2018,"Cincinnati","JR"
"1825","Keith Williams","G",2018,"Cincinnati","SO"
"1826","Tre Scott","F",2018,"Cincinnati","JR"
"1827","Justin Jenifer","G",2018,"Cincinnati","SR"
"1828","Cane Broome","G",2018,"Cincinnati","SR"
"1829","Nysier Brooks","C",2018,"Cincinnati","JR"
"1830","Rashawn Fredericks","G",2018,"Cincinnati","JR"
"1831","Trevor Moore","G",2018,"Cincinnati","SO"
"1832","Logan Johnson","G",2018,"Cincinnati","FR"
"1833","Mamoudou Diarra","F",2018,"Cincinnati","FR"
"1834","Eliel Nsoseme","F",2018,"Cincinnati","SO"
"1835","Sam Martin","G",2018,"Cincinnati","SO"
"1836","John Koz","G",2018,"Cincinnati","JR"
"1837","Jarron Cumberland","G",2019,"Cincinnati","SR"
"1838","Keith Williams","G",2019,"Cincinnati","JR"
"1839","Tre Scott","F",2019,"Cincinnati","SR"
"1840","Chris Vogt","C",2019,"Cincinnati","JR"
"1841","Jaevin Cumberland","G",2019,"Cincinnati","SR"
"1842","Mika Adams-Woods","G",2019,"Cincinnati","FR"
"1843","Mamoudou Diarra","F",2019,"Cincinnati","SO"
"1844","Chris McNeal","G",2019,"Cincinnati","SR"
"1845","Jaume Sorolla","C",2019,"Cincinnati","SR"
"1846","Zach Harvey","G",2019,"Cincinnati","FR"
"1847","Jeremiah Davenport","G",2019,"Cincinnati","FR"
"1848","Trevor Moore","G",2019,"Cincinnati","JR"
"1849","Rob Banks","F",2019,"Cincinnati","FR"
"1850","John Koz","G",2019,"Cincinnati","SR"
"1851","Sam Martin","G",2019,"Cincinnati","JR"
"1852","Prince Gillam Toyambi","F",2019,"Cincinnati","FR"
"1853","Keith Williams","G",2020,"Cincinnati","SR"
"1854","Jeremiah Davenport","G",2020,"Cincinnati","SO"
"1855","Mika Adams-Woods","G",2020,"Cincinnati","SO"
"1856","David Dejulius","G",2020,"Cincinnati","JR"
"1857","Tari Eason","F",2020,"Cincinnati","FR"
"1858","Chris Vogt","C",2020,"Cincinnati","SR"
"1859","Mason Madsen","G",2020,"Cincinnati","FR"
"1860","Mike Saunders","G",2020,"Cincinnati","FR"
"1861","Zach Harvey","G",2020,"Cincinnati","SO"
"1862","Rapolas Ivanauskas","F",2020,"Cincinnati","SR"
"1863","Mamoudou Diarra","F",2020,"Cincinnati","JR"
"1864","Gabe Madsen","G",2020,"Cincinnati","FR"
"1865","Rob Banks","F",2020,"Cincinnati","SO"
"1866","Adam Cook","F",2020,"Cincinnati","SR"
"1867","Sam Martin","G",2020,"Cincinnati","SR"
"1868","David Dejulius","G",2021,"Cincinnati","SR"
"1869","Jeremiah Davenport","G",2021,"Cincinnati","JR"
"1870","Mika Adams-Woods","G",2021,"Cincinnati","JR"
"1871","Mike Saunders","G",2021,"Cincinnati","SO"
"1872","John Newman","G",2021,"Cincinnati","SR"
"1873","Ody Oguama","F",2021,"Cincinnati","JR"
"1874","Viktor Lakhin","F",2021,"Cincinnati","FR"
"1875","Mason Madsen","G",2021,"Cincinnati","SO"
"1876","Hayden Koval","C",2021,"Cincinnati","SR"
"1877","Abdul Ado","F",2021,"Cincinnati","SR"
"1878","Jarrett Hensley","F",2021,"Cincinnati","SO"
"1879","A.J. McGinnis","G",2021,"Cincinnati","SO"
"1880","CJ Anthony","G",2021,"Cincinnati","FR"
"1881","Sam Martin","G",2021,"Cincinnati","SR"
"1882","Landers Nolley","G",2022,"Cincinnati","SR"
"1883","David Dejulius","G",2022,"Cincinnati","SR"
"1884","Viktor Lakhin","F",2022,"Cincinnati","SO"
"1885","Mika Adams-Woods","G",2022,"Cincinnati","SR"
"1886","Jeremiah Davenport","G",2022,"Cincinnati","SR"
"1887","Ody Oguama","F",2022,"Cincinnati","SR"
"1888","Daniel Skillings","G",2022,"Cincinnati","FR"
"1889","Kalu Ezikpe","F",2022,"Cincinnati","SR"
"1890","Jarrett Hensley","F",2022,"Cincinnati","JR"
"1891","Josh Reed","G",2022,"Cincinnati","FR"
"1892","Rob Phinisee","G",2022,"Cincinnati","SR"
"1893","CJ Anthony","G",2022,"Cincinnati","SO"
"1894","Sage Tolentino","F",2022,"Cincinnati","FR"
"1895","Chase Kirkwood","G",2022,"Cincinnati","SO"
"1896","John Newman","G",2022,"Cincinnati","SR"
"1897","Viktor Lakhin","F",2023,"Cincinnati","JR"
"1898","Day Day Thomas","G",2023,"Cincinnati","JR"
"1899","Daniel Skillings","G",2023,"Cincinnati","SO"
"1900","John Newman","G",2023,"Cincinnati","SR"
"1901","Jizzle James","G",2023,"Cincinnati","FR"
"1902","Simas Lukosius","G",2023,"Cincinnati","SO"
"1903","CJ Fredrick","G",2023,"Cincinnati","SR"
"1904","Ody Oguama","F",2023,"Cincinnati","SR"
"1905","Josh Reed","G",2023,"Cincinnati","SO"
"1906","Aziz Bandaogo","C",2023,"Cincinnati","SO"
"1907","CJ Anthony","G",2023,"Cincinnati","JR"
"1908","Chase Kirkwood","G",2023,"Cincinnati","JR"
"1909","Landen Long","G",2023,"Cincinnati","SR"
"1910","Sage Tolentino","F",2023,"Cincinnati","FR"
"1911","Rayvon Griffith","G",2023,"Cincinnati","FR"
"1912","Jamille Reynolds","F",2023,"Cincinnati","SO"
"1913","Norris Cole","G",2010,"Cleveland State","SR"
"1914","Trevon Harmon","G",2010,"Cleveland State","JR"
"1915","Jeremy Montgomery","G",2010,"Cleveland State","JR"
"1916","Aaron Pogue","F",2010,"Cleveland State","JR"
"1917","Tim Kamczyc","F",2010,"Cleveland State","SO"
"1918","Josh McCoy","G",2010,"Cleveland State","SO"
"1919","Charlie Woods","F",2010,"Cleveland State","SO"
"1920","Joe Latas","F",2010,"Cleveland State","JR"
"1921","Ludovic Ndaye","F",2010,"Cleveland State","FR"
"1922","Devon Long","C",2010,"Cleveland State","FR"
"1923","Darius Ware","G",2010,"Cleveland State","FR"
"1924","Keith Mackie","G",2010,"Cleveland State","FR"
"1925","Anthony Wells","G",2010,"Cleveland State","SO"
"1926","Trevon Harmon","G",2011,"Cleveland State","SR"
"1927","Jeremy Montgomery","G",2011,"Cleveland State","SR"
"1928","Tim Kamczyc","F",2011,"Cleveland State","JR"
"1929","Anton Grady","F",2011,"Cleveland State","FR"
"1930","D'Aundray Brown","G",2011,"Cleveland State","SR"
"1931","Aaron Pogue","F",2011,"Cleveland State","SR"
"1932","Charlie Lee","G",2011,"Cleveland State","FR"
"1933","Marlin Mason","F",2011,"Cleveland State","FR"
"1934","Ike Nwamu","G",2011,"Cleveland State","FR"
"1935","Sebastian Douglas","G",2011,"Cleveland State","FR"
"1936","Ludovic Ndaye","F",2011,"Cleveland State","SO"
"1937","Devon Long","C",2011,"Cleveland State","SO"
"1938","Josh Gottshall","G",2011,"Cleveland State","FR"
"1939","Bryn Forbes","G",2012,"Cleveland State","FR"
"1940","Charlie Lee","G",2012,"Cleveland State","SO"
"1941","Tim Kamczyc","F",2012,"Cleveland State","SR"
"1942","Marlin Mason","F",2012,"Cleveland State","SO"
"1943","Sebastian Douglas","G",2012,"Cleveland State","SO"
"1944","Devon Long","C",2012,"Cleveland State","JR"
"1945","Junior Lomomba","G",2012,"Cleveland State","FR"
"1946","Anton Grady","F",2012,"Cleveland State","SO"
"1947","Ludovic Ndaye","F",2012,"Cleveland State","JR"
"1948","Josh Ivory","G",2012,"Cleveland State","FR"
"1949","Aaron Scales","C",2012,"Cleveland State","FR"
"1950","Raphael Veira","F",2012,"Cleveland State","JR"
"1951","Bryn Forbes","G",2013,"Cleveland State","SO"
"1952","Trey Lewis","G",2013,"Cleveland State","SO"
"1953","Jon Harris","F",2013,"Cleveland State","SR"
"1954","Anton Grady","F",2013,"Cleveland State","SO"
"1955","Charlie Lee","G",2013,"Cleveland State","JR"
"1956","Sebastian Douglas","G",2013,"Cleveland State","JR"
"1957","Marlin Mason","F",2013,"Cleveland State","JR"
"1958","Devon Long","C",2013,"Cleveland State","SR"
"1959","Demonte Flannigan","F",2013,"Cleveland State","FR"
"1960","Ismaila Dauda","C",2013,"Cleveland State","JR"
"1961","Ludovic Ndaye","F",2013,"Cleveland State","SR"
"1962","Raphael Veira","F",2013,"Cleveland State","SR"
"1963","Khyler Fields","G",2013,"Cleveland State","SO"
"1964","Trey Lewis","G",2014,"Cleveland State","JR"
"1965","Anton Grady","F",2014,"Cleveland State","JR"
"1966","Charlie Lee","G",2014,"Cleveland State","SR"
"1967","Marlin Mason","F",2014,"Cleveland State","SR"
"1968","Andre Yates","G",2014,"Cleveland State","SO"
"1969","Kaza Keane","G",2014,"Cleveland State","JR"
"1970","Vinny Zollo","F",2014,"Cleveland State","JR"
"1971","Demonte Flannigan","F",2014,"Cleveland State","SO"
"1972","Terrell Hales","G",2014,"Cleveland State","FR"
"1973","Kenny Carpenter","G",2014,"Cleveland State","FR"
"1974","Aaron Scales","C",2014,"Cleveland State","SO"
"1975","Derek Sloan","F",2014,"Cleveland State","FR"
"1976","Khyler Fields","G",2014,"Cleveland State","JR"
"1977","David Goodwater","G",2014,"Cleveland State","SR"
"1978","Tim Hasbargen","G",2014,"Cleveland State","FR"
"1979","Rob Edwards","G",2015,"Cleveland State","FR"
"1980","Demonte Flannigan","F",2015,"Cleveland State","JR"
"1981","Andre Yates","G",2015,"Cleveland State","JR"
"1982","Kenny Carpenter","G",2015,"Cleveland State","SO"
"1983","Vinny Zollo","F",2015,"Cleveland State","SR"
"1984","Jibri Blount","F",2015,"Cleveland State","FR"
"1985","Daniel Levitt","G",2015,"Cleveland State","FR"
"1986","Tim Hasbargen","G",2015,"Cleveland State","SO"
"1987","Terrell Hales","G",2015,"Cleveland State","SO"
"1988","Nelson Maxwell","G",2015,"Cleveland State","FR"
"1989","Jeron Rogers","F",2015,"Cleveland State","FR"
"1990","Derek Sloan","F",2015,"Cleveland State","SO"
"1991","Aaron Scales","C",2015,"Cleveland State","JR"
"1992","Myles Hamilton","G",2015,"Cleveland State","SR"
"1993","Jonothan Janssen","F",2015,"Cleveland State","SO"
"1994","Rob Edwards","G",2016,"Cleveland State","SO"
"1995","Bobby Word","G",2016,"Cleveland State","JR"
"1996","Demonte Flannigan","F",2016,"Cleveland State","SR"
"1997","Kasheem Thomas","G",2016,"Cleveland State","FR"
"1998","Kenny Carpenter","G",2016,"Cleveland State","JR"
"1999","Jibri Blount","F",2016,"Cleveland State","SO"
"2000","Anthony Wright","G",2016,"Cleveland State","JR"
"2001","Derek Sloan","F",2016,"Cleveland State","JR"
"2002","Jamarcus Hairston","F",2016,"Cleveland State","JR"
"2003","Daniel Levitt","G",2016,"Cleveland State","SO"
"2004","Nelson Maxwell","G",2016,"Cleveland State","SO"
"2005","Evan Clayborne","F",2016,"Cleveland State","FR"
"2006","Tim Hasbargen","G",2016,"Cleveland State","JR"
"2007","Terrell Hales","G",2016,"Cleveland State","JR"
"2008","Kenny Carpenter","G",2017,"Cleveland State","SR"
"2009","Tyree Appleby","G",2017,"Cleveland State","FR"
"2010","Bobby Word","G",2017,"Cleveland State","SR"
"2011","Stefan Kenic","F",2017,"Cleveland State","FR"
"2012","Anthony Wright","G",2017,"Cleveland State","SR"
"2013","Jamarcus Hairston","F",2017,"Cleveland State","SR"
"2014","Kasheem Thomas","G",2017,"Cleveland State","SO"
"2015","Dontel Highsmith","G",2017,"Cleveland State","JR"
"2016","Evan Clayborne","F",2017,"Cleveland State","SO"
"2017","Terrell Hales","G",2017,"Cleveland State","SR"
"2018","Shawn Christian","G",2017,"Cleveland State","FR"
"2019","Derek Sloan","F",2017,"Cleveland State","SR"
"2020","David Payne","F",2017,"Cleveland State","JR"
"2021","Tyree Appleby","G",2018,"Cleveland State","SO"
"2022","Rashad Williams","G",2018,"Cleveland State","FR"
"2023","Jaalam Hill","F",2018,"Cleveland State","JR"
"2024","Stefan Kenic","F",2018,"Cleveland State","SO"
"2025","Setric Millner","F",2018,"Cleveland State","FR"
"2026","Kasheem Thomas","G",2018,"Cleveland State","JR"
"2027","Al Eichelberger","F",2018,"Cleveland State","SO"
"2028","Dontel Highsmith","G",2018,"Cleveland State","SR"
"2029","Dibaji Walker","F",2018,"Cleveland State","FR"
"2030","Deante Johnson","F",2018,"Cleveland State","FR"
"2031","Aleksa Popovic","F",2018,"Cleveland State","FR"
"2032","David Payne","F",2018,"Cleveland State","SR"
"2033","Gregory Kolomoisky","G",2018,"Cleveland State","FR"
"2034","Al Eichelberger","F",2019,"Cleveland State","JR"
"2035","Torrey Patton","G",2019,"Cleveland State","JR"
