"","season","schl","result","games"
"433",2013,"Illinois State","L",16
"434",2013,"Illinois State","W",18
"435",2013,"Indiana","L",15
"436",2013,"Indiana","W",17
"437",2013,"Indiana State","L",11
"438",2013,"Indiana State","W",23
"439",2013,"Iowa","L",13
"440",2013,"Iowa","W",20
"441",2013,"Iowa State","L",8
"442",2013,"Iowa State","W",28
"443",2013,"IUPUI","L",26
"444",2013,"IUPUI","W",6
"445",2013,"Kansas","L",10
"446",2013,"Kansas","W",25
"447",2013,"Kansas State","L",13
"448",2013,"Kansas State","W",20
"449",2013,"Kent State","L",16
"450",2013,"Kent State","W",16
"451",2013,"Loyola (IL)","L",22
"452",2013,"Loyola (IL)","W",10
"453",2013,"Memphis","L",10
"454",2013,"Memphis","W",24
"455",2013,"Miami (OH)","L",18
"456",2013,"Miami (OH)","W",13
"457",2013,"Michigan","L",9
"458",2013,"Michigan","W",28
"459",2013,"Michigan State","L",9
"460",2013,"Michigan State","W",29
"461",2013,"Milwaukee","L",14
"462",2013,"Milwaukee","W",21
"463",2013,"Minnesota","L",13
"464",2013,"Minnesota","W",25
"465",2013,"Missouri","L",12
"466",2013,"Missouri","W",23
"467",2013,"Missouri State","L",13
"468",2013,"Missouri State","W",20
"469",2013,"Murray State","L",11
"470",2013,"Murray State","W",23
"471",2013,"Nebraska","L",13
"472",2013,"Nebraska","W",19
"473",2013,"North Dakota","L",17
"474",2013,"North Dakota","W",17
"475",2013,"North Dakota State","L",7
"476",2013,"North Dakota State","W",26
"477",2013,"Northern Illinois","L",17
"478",2013,"Northern Illinois","W",15
"479",2013,"Northern Iowa","L",15
"480",2013,"Northern Iowa","W",16
"481",2013,"Northern Kentucky","L",21
"482",2013,"Northern Kentucky","W",9
"483",2013,"Northwestern","L",19
"484",2013,"Northwestern","W",14
"485",2013,"Notre Dame","L",17
"486",2013,"Notre Dame","W",15
"487",2013,"Ohio","L",12
"488",2013,"Ohio","W",25
"489",2013,"Ohio State","L",10
"490",2013,"Ohio State","W",25
"491",2013,"Oklahoma","L",10
