"","season","schl","result","games"
"1583",2022,"Ball State","W",20
"1584",2022,"Belmont","L",11
"1585",2022,"Belmont","W",21
"1586",2022,"Bowling Green State","L",20
"1587",2022,"Bowling Green State","W",11
"1588",2022,"Bradley","L",10
"1589",2022,"Bradley","W",25
"1590",2022,"Buffalo","L",17
"1591",2022,"Buffalo","W",15
"1592",2022,"Butler","L",18
"1593",2022,"Butler","W",14
"1594",2022,"Central Michigan","L",21
"1595",2022,"Central Michigan","W",10
"1596",2022,"Chicago State","L",20
"1597",2022,"Chicago State","W",11
"1598",2022,"Cincinnati","L",13
"1599",2022,"Cincinnati","W",23
"1600",2022,"Cleveland State","L",14
"1601",2022,"Cleveland State","W",21
"1602",2022,"Creighton","L",13
"1603",2022,"Creighton","W",24
"1604",2022,"Denver","L",17
"1605",2022,"Denver","W",15
"1606",2022,"Detroit Mercy","L",19
"1607",2022,"Detroit Mercy","W",14
"1608",2022,"Drake","L",8
"1609",2022,"Drake","W",27
"1610",2022,"Eastern Michigan","L",23
"1611",2022,"Eastern Michigan","W",8
"1612",2022,"Evansville","L",27
"1613",2022,"Evansville","W",5
"1614",2022,"Green Bay","L",29
"1615",2022,"Green Bay","W",3
"1616",2022,"Illinois","L",13
"1617",2022,"Illinois","W",20
"1618",2022,"Illinois-Chicago","L",20
"1619",2022,"Illinois-Chicago","W",12
"1620",2022,"Illinois State","L",21
"1621",2022,"Illinois State","W",11
"1622",2022,"Indiana","L",12
"1623",2022,"Indiana","W",23
"1624",2022,"Indiana State","L",13
"1625",2022,"Indiana State","W",23
"1626",2022,"Iowa","L",14
"1627",2022,"Iowa","W",19
"1628",2022,"Iowa State","L",14
"1629",2022,"Iowa State","W",19
"1630",2022,"IUPUI","L",27
"1631",2022,"IUPUI","W",5
"1632",2022,"Kansas","L",8
"1633",2022,"Kansas","W",28
"1634",2022,"Kansas State","L",10
"1635",2022,"Kansas State","W",26
"1636",2022,"Kent State","L",7
"1637",2022,"Kent State","W",28
"1638",2022,"Loyola (IL)","L",21
"1639",2022,"Loyola (IL)","W",10
"1640",2022,"Memphis","L",9
"1641",2022,"Memphis","W",26
"1642",2022,"Miami (OH)","L",20
"1643",2022,"Miami (OH)","W",12
"1644",2022,"Michigan","L",16
"1645",2022,"Michigan","W",18
"1646",2022,"Michigan State","L",13
"1647",2022,"Michigan State","W",21
"1648",2022,"Milwaukee","L",12
"1649",2022,"Milwaukee","W",22
"1650",2022,"Minnesota","L",22
"1651",2022,"Minnesota","W",9
"1652",2022,"Missouri","L",10
"1653",2022,"Missouri","W",25
"1654",2022,"Missouri State","L",15
"1655",2022,"Missouri State","W",17
"1656",2022,"Murray State","L",15
"1657",2022,"Murray State","W",17
"1658",2022,"Nebraska","L",16
"1659",2022,"Nebraska","W",16
"1660",2022,"North Dakota","L",20
"1661",2022,"North Dakota","W",13
"1662",2022,"North Dakota State","L",17
"1663",2022,"North Dakota State","W",16
"1664",2022,"Northern Illinois","L",19
"1665",2022,"Northern Illinois","W",13
"1666",2022,"Northern Iowa","L",18
"1667",2022,"Northern Iowa","W",14
"1668",2022,"Northern Kentucky","L",13
"1669",2022,"Northern Kentucky","W",22
"1670",2022,"Northwestern","L",12
"1671",2022,"Northwestern","W",22
"1672",2022,"Notre Dame","L",21
"1673",2022,"Notre Dame","W",11
"1674",2022,"Ohio","L",14
"1675",2022,"Ohio","W",19
"1676",2022,"Ohio State","L",19
"1677",2022,"Ohio State","W",16
"1678",2022,"Oklahoma","L",17
"1679",2022,"Oklahoma","W",15
"1680",2022,"Oklahoma State","L",16
"1681",2022,"Oklahoma State","W",20
"1682",2022,"Oral Roberts","L",5
"1683",2022,"Oral Roberts","W",30
"1684",2022,"Pittsburgh","L",12
"1685",2022,"Pittsburgh","W",24
"1686",2022,"Purdue","L",6
"1687",2022,"Purdue","W",29
"1688",2022,"Robert Morris","L",17
"1689",2022,"Robert Morris","W",16
"1690",2022,"South Dakota","L",19
"1691",2022,"South Dakota","W",12
"1692",2022,"South Dakota State","L",13
"1693",2022,"South Dakota State","W",19
"1694",2022,"Southern Illinois","L",10
"1695",2022,"Southern Illinois","W",23
"1696",2022,"Toledo","L",8
"1697",2022,"Toledo","W",27
"1698",2022,"Tulsa","L",25
"1699",2022,"Tulsa","W",5
"1700",2022,"Valparaiso","L",21
"1701",2022,"Valparaiso","W",11
"1702",2022,"Western Michigan","L",23
"1703",2022,"Western Michigan","W",8
"1704",2022,"Wichita State","L",15
"1705",2022,"Wichita State","W",17
"1706",2022,"Wisconsin","L",15
"1707",2022,"Wisconsin","W",20
"1708",2022,"Wright State","L",15
"1709",2022,"Wright State","W",18
"1710",2022,"Youngstown State","L",10
"1711",2022,"Youngstown State","W",24
